project,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantElements_last,quantFieldsDeprecated_last,quantFieldsDeprecatedWithRelMessage_last,quantTypes_last,quantTypesDeprecated_last,quantTypesDeprecatedWithRelMessage_last,quantMethods_last,quantMethodsDeprecated_last,quantMethodsDeprecatedWithRelMessage_last,quantElements_last,quantElementsDeprecated_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecated_last,avgPopularity,avgSize,avgCommunity,avgActivity,avgMaturity,avgAll,category,category2
jgraphx,git://github.com/jgraph/jgraphx.git,225,60,2,164,54071,74,1050,2,1127,15.2297297297,106,525,2861,1471,5722,0,0,334,0,0,3917,14,14,5722,14,14,100,0.2446696959,112.75,6702.3333333333,1129.3333333333,1693,1127,2152.8833333333,Non-web libraries and frameworks,Library
adblockplusandroid,git://github.com/adblockplus/adblockplusandroid.git,109,20,7,57,13965,11,420,2,1228,111.6363636364,360,60,196.4285714286,239,1375,0,0,122,0,0,1014,12,12,1375,12,12,100,0.8727272727,48.25,2620.3333333333,87.8095238095,128.2142857143,1228,822.5214285714,Application,Non-library
Carbon,git://github.com/ZieIony/Carbon.git,861,55,3,109,6158,23,328,3,197,8.5652173913,170,109.3333333333,680.6666666667,213,2042,0,0,172,3,3,1657,9,9,2042,12,12,100,0.5876591577,257,3869,264.3333333333,395,197,996.4666666667,Non-web libraries and frameworks,Library
mcpatcher,git://github.com/pclewis/mcpatcher.git,188,32,2,19,9350,37,215,4,815,22.027027027,1508,107.5,1497.5,514,2995,0,0,324,0,0,2157,11,11,2995,11,11,100,0.367278798,60.25,18349.6666666667,535.6666666667,802.5,815,4112.6166666667,Application,Non-library
spring-batch,git://github.com/spring-projects/spring-batch.git,455,155,51,504,49515,68,2539,14,3053,44.8970588235,4926,49.7843137255,270.8823529412,770,13815,0,0,1983,5,5,11062,6,6,13815,11,11,100,0.0796235975,291.25,6561.6666666667,123.8888888889,160.3333333333,3053,2038.0277777778,Non-web libraries and frameworks,Library
overthere,git://github.com/xebialabs/overthere.git,102,28,16,35,5704,67,166,12,1642,24.5074626866,862,10375,94,280,1504,0,0,143,5,5,1081,5,5,1504,10,10,100,0.664893617,45.25,2049.6666666667,40125,52.1875,1642,765.8458333333,Non-web libraries and frameworks,Library
CrossBow,git://github.com/TwistedEquations/CrossBow.git,109,5,0,9,4418,23,227,2,15,0.652173913,18,0,0,117,1382,0,0,207,0,0,1058,8,8,1382,8,8,100,0.5788712012,30.75,1541.3333333333,0,0,15,#DIV/0!,Web libraries and frameworks,Library
javaewah,git://github.com/lemire/javaewah.git,162,26,11,36,3155,63,87,2,1781,28.2698412698,578,7.9090909091,126,74,1386,0,0,87,0,0,1225,8,8,1386,8,8,100,0.5772005772,58.75,4216,48.303030303,66.9545454545,1781,1234.2015151515,Non-web libraries and frameworks,Library
zoie,git://github.com/senseidb/zoie.git,315,34,7,104,11078,13,184,10,1450,111.5384615385,524,26.2857142857,245,147,1715,0,0,174,0,0,1394,8,8,1715,8,8,100,0.4664723032,115,4326,92.7619047619,135.6428571429,1450,1223.880952381,System Software,Non-library
ideavim,git://github.com/JetBrains/ideavim.git,1291,115,21,201,10817,20,446,2,4437,221.85,1333,21.2380952381,167.4285714286,323,3516,0,0,675,0,0,2518,8,8,3516,8,8,100,0.2275312856,407,3065.6666666667,69.8888888889,94.3333333333,4437,1614.7777777778,Software tools,Non-library
jcabi-aspects,git://github.com/jcabi/jcabi-aspects.git,138,12,16,54,5566,26,115,3,1177,45.2692307692,658,7.1875,24875,31,398,0,0,82,0,0,285,7,7,398,7,7,100,1.7587939698,55,4101.6666666667,16.0208333333,16.03125,1177,1073.14375,Non-web libraries and frameworks,Library
webmagic,git://github.com/code4craft/webmagic.git,1227,262,18,803,11434,13,473,7,722,55.5384615385,682,26.2777777778,78.2777777778,73,1409,0,0,247,1,1,1089,6,6,1409,7,7,100,0.4968062456,577.5,4239.6666666667,40.8518518519,52.2777777778,722,1126.4592592593,Web libraries and frameworks,Library
osmdroid,git://github.com/osmdroid/osmdroid.git,447,81,9,224,11033,9,277,19,2466,274,1225,30.7777777778,233.1111111111,323,2098,0,0,218,4,4,1557,2,2,2098,6,6,100,0.285986654,190.25,23313.6666666667,90.962962963,131.9444444444,2466,5238.5648148148,Non-web libraries and frameworks,Library
elephant-bird,git://github.com/twitter/elephant-bird.git,885,256,50,321,67413,31,430,17,1889,60.935483871,1305,8.6,52.72,196,2636,0,0,388,5,5,2052,1,1,2636,6,6,100,0.2276176024,378,1616.3333333333,37.1066666667,30.66,1889,790.22,Non-web libraries and frameworks,Library
nifty,git://github.com/facebook/nifty.git,354,97,9,115,2093,19,120,8,1195,62.8947368421,236,13.3333333333,294.2222222222,82,2648,0,0,342,1,1,2224,5,5,2648,6,6,100,0.2265861027,143.75,4769.6666666667,105.5185185185,153.7777777778,1195,1273.5425925926,Non-web libraries and frameworks,Library
bobo,git://github.com/senseidb/bobo.git,141,21,14,96,11419,11,242,13,1539,139.9090909091,747,17.2857142857,217.1428571429,291,3040,0,0,354,0,0,2395,6,6,3040,6,6,100,0.1973684211,68,5350.3333333333,82.8095238095,117.2142857143,1539,1431.4714285714,System Software,Non-library
st-js,git://github.com/st-js/st-js.git,106,23,13,29,12110,20,901,5,1520,76,828,69.3076923077,346.4615384615,188,4504,0,0,901,0,0,3415,6,6,4504,6,6,100,0.1332149201,42.75,14327.3333333333,142.9230769231,207.8846153846,1520,3248.1782051282,Software tools,Non-library
android-maven-plugin,git://github.com/simpligility/android-maven-plugin.git,878,86,200,366,36998,87,1480,5,2687,30.8850574713,2489,7.4,28.31,724,5662,3,3,877,3,3,4061,0,0,5662,6,6,100,0.105969622,382.5,15380.3333333333,78.57,17855,2687,3709.2516666667,Software tools,Non-library
