project,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantElements_last,quantFieldsDeprecated_last,quantFieldsDeprecatedWithRelMessage_last,quantTypes_last,quantTypesDeprecated_last,quantTypesDeprecatedWithRelMessage_last,quantMethods_last,quantMethodsDeprecated_last,quantMethodsDeprecatedWithRelMessage_last,quantElements_last,quantElementsDeprecated_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecated_last,avgPopularity,avgSize,avgCommunity,avgActivity,avgMaturity,avgAll,category,category2
cursor-utils,git://github.com/venmo/cursor-utils.git,180,45,5,9,463,3,36,2,236,78.6666666667,41,7.2,46.4,8,232,0,0,20,0,0,204,10,8,232,10,8,80,4.3103448276,59.75,2685,19.5333333333,26.8,236,605.4166666667,Non-web libraries and frameworks,Library
Java-Thread-Affinity,git://github.com/OpenHFT/Java-Thread-Affinity.git,147,50,8,54,7758,16,65,3,662,41375,161,8125,56625,40,453,0,0,44,1,0,369,4,4,453,5,4,80,1.1037527594,64.75,6462.6666666667,24.25,32375,662,1449.2083333333,Application,Non-library
gnucash-android,git://github.com/codinguser/gnucash-android.git,351,62,26,194,18536,64,399,6,1186,18.53125,856,15.3461538462,61.1923076923,352,1591,5,4,127,0,0,1112,0,0,1591,5,4,80,0.3142677561,158.25,87926,34.1794871795,38.2692307692,1186,17868.5397435897,Application,Non-library
subsonic,git://github.com/EugeneKay/subsonic.git,185,45,4,53,261413,10,774,5,1120,112,3017,193.5,915.5,388,3662,0,0,281,0,0,2993,5,4,3662,5,4,80,0.1365374113,71.75,48995.3333333333,371,554.5,1120,10222.5166666667,Application,Non-library
Subsonic,git://github.com/daneren2005/Subsonic.git,125,25,12,51,142550,78,774,5,1120,14.358974359,3017,64.5,305.1666666667,388,3662,0,0,281,0,0,2993,5,4,3662,5,4,80,0.1365374113,53.25,10915.3333333333,127.2222222222,184.8333333333,1120,2480.1277777778,Non-web libraries and frameworks,Library
AxonFramework,git://github.com/AxonFramework/AxonFramework.git,289,55,37,121,27575,49,1509,13,1994,40.693877551,1794,40.7837837838,231.5135135135,75,8566,0,0,1508,2,1,6983,22,18,8566,24,19,79.1666666667,0.2801774457,125.5,49215,103.0990990991,136.1486486486,1994,10314.7495495495,Non-web libraries and frameworks,Library
liquibase,git://github.com/liquibase/liquibase.git,759,82,200,526,136858,82,2221,26,2307,28.1341463415,4592,11105,49.45,381,9890,1,1,1192,6,5,8317,73,57,9890,80,63,78.75,0.8088978766,391.75,51311.6666666667,86.8516666667,30.2775,2307,10825.5091666667,System Software,Non-library
operaprestodriver,git://github.com/operasoftware/operaprestodriver.git,126,42,18,52,143590,168,455,10,1743,10375,3320,25.2777777778,1201.6666666667,1021,21630,0,0,903,0,0,19706,14,11,21630,14,11,78.5714285714,0.0647249191,59.5,34093,414.9814814815,613.4722222222,1743,7384.7907407407,Non-web libraries and frameworks,Library
playn,git://github.com/threerings/playn.git,200,47,29,69,80114,20,535,3,1670,83.5,1877,18.4482758621,281.2068965517,1120,8155,0,0,557,2,2,6478,30,23,8155,32,25,78125,0.3923973023,86.25,22592.3333333333,109.5517241379,149.8275862069,1670,4921.5925287356,Non-web libraries and frameworks,Library
nifty-gui,git://github.com/void256/nifty-gui.git,118,32,21,48,58106,4,1516,6,2686,671.5,2416,72.1904761905,478.5238095238,284,10049,2,2,1131,30,26,8634,18,11,10049,50,39,78,0.4975619465,54.75,5691,190.5714285714,275.3571428571,2686,1779.5357142857,Non-web libraries and frameworks,Library
frames,git://github.com/tinkerpop/frames.git,136,33,10,37,6900,15,124,3,1320,88,265,12.4,64.8,19,648,0,0,108,1,1,521,17,13,648,18,14,77.7777777778,2.7777777778,54,173715,29.0666666667,38.6,1320,35031.3333333333,Non-web libraries and frameworks,Library
restlet-framework-java,git://github.com/restlet/restlet-framework-java.git,310,75,32,164,516787,79,3710,12,3530,44.6835443038,8516,115.9375,595375,1037,19052,2,1,2305,2,0,15710,14,13,19052,18,14,77.7777777778,0.09447827,145.25,12993.6666666667,247.7708333333,355.65625,3530,3454.46875,Non-web libraries and frameworks,Library
asterisk-java,git://github.com/asterisk-java/asterisk-java.git,149,43,28,122,19260,8,669,7,3457,432125,1277,23.8928571429,235.4285714286,388,6592,0,0,597,6,6,5607,43,32,6592,49,38,77.5510204082,0.7433252427,85.5,19535,95.7738095238,129.6607142857,3457,4660.5869047619,Non-web libraries and frameworks,Library
calabash-android,git://github.com/calabash/calabash-android.git,952,139,58,443,51294,76,719,32,1276,16.7894736842,1418,12.3965517241,159.8965517241,1551,9274,6,6,768,46,43,6955,142,101,9274,194,150,77.3195876289,2.0918697434,398,15943.6666666667,76.7643678161,86.1465517241,1276,3556.1155172414,Software tools,Non-library
ps3mediaserver,git://github.com/ps3mediaserver/ps3mediaserver.git,396,81,28,203,37620,31,937,4,2155,69.5161290323,2356,33.4642857143,123.8214285714,341,3467,89,82,251,5,4,2875,111,71,3467,205,157,76.5853658537,5.9128929911,177,5603.3333333333,61.7619047619,78.6428571429,2155,1615.1476190476,System Software,Non-library
slf4j,git://github.com/qos-ch/slf4j.git,370,48,37,221,12945,42,398,5,3731,88.8333333333,1330,10.7567567568,59.7837837838,384,2212,6,6,234,0,0,1594,11,7,2212,17,13,76.4705882353,0.7685352622,169,3208.3333333333,35.8468468468,35.2702702703,3731,1435.8900900901,Software tools,Non-library
jnr-ffi,git://github.com/jnr/jnr-ffi.git,169,23,15,30,7090,46,323,7,2481,53.9347826087,792,21.5333333333,307.6666666667,562,4615,0,0,666,1,1,3387,16,12,4615,17,13,76.4705882353,0.3683640303,59.25,248328.666666667,114.7333333333,164.6,2481,50229.65,Non-web libraries and frameworks,Library
xwiki-platform,git://github.com/xwiki/xwiki-platform.git,122,32,49,154,731011,1248,9360,41,3233,2.5905448718,29208,191.0204081633,718.387755102,3184,35201,16,6,4385,164,103,27632,461,379,35201,641,488,76.1310452418,1.8209709951,89.25,14647,319.4693877551,454.7040816327,3233,3748.6846938776,Non-web libraries and frameworks,Library
fanfoudroid,git://github.com/fanfoudroid/fanfoudroid.git,341,81,5,201,8179,11,561,10,1106,100.5454545455,578,112.2,538.2,472,2691,1,0,231,1,1,1988,27,21,2691,29,22,75.8620689655,1.0776662951,157,22010.6666666667,218.4666666667,325.2,1106,4763.4666666667,Application,Non-library
Resteasy,git://github.com/resteasy/Resteasy.git,327,59,71,476,59456,116,3885,7,3099,26.7155172414,2693,54.7183098592,397.6056338028,2943,28230,0,0,4144,39,35,21143,17,7,28230,56,42,75,0.1983705278,233.25,16323.3333333333,174.441314554,226.161971831,3099,4011.2373239437,Non-web libraries and frameworks,Library
curator-apache,git://github.com/apache/curator.git,207,43,38,136,20153,87,587,145,1499,17.2298850575,1683,15.4473684211,262.4210526316,547,9972,0,0,1121,4,4,8304,16,11,9972,20,15,75,0.2005615724,106,4002.6666666667,105.2894736842,138.9342105263,1499,1170.3780701754,Non-web libraries and frameworks,Library
android-utils,git://github.com/jaydeepw/android-utils.git,160,13,2,25,1996,3,40,4,167,55.6666666667,24,20,106.5,70,213,1,0,11,1,1,132,2,2,213,4,3,75,1.8779342723,50,488.6666666667,42.8333333333,63.25,167,162.35,Non-web libraries and frameworks,Library
JSONassert,git://github.com/skyscreamer/JSONassert.git,144,22,10,47,1216,8,37,5,1255,156875,150,3.7,29.1,7,291,0,0,28,0,0,256,4,3,291,4,3,75,1.3745704467,55.75,56598.3333333333,14.2666666667,16.4,1255,11587.95,Non-web libraries and frameworks,Library
crawljax,git://github.com/crawljax/crawljax.git,240,63,30,130,169048,18,456,11,2806,155.8888888889,1447,15.2,73.4666666667,97,2204,0,0,274,1,1,1833,3,2,2204,4,3,75,0.1814882033,115.75,6842.6666666667,39.5555555556,44.3333333333,2806,1969.6611111111,Application,Non-library
avaje-ebeanorm,git://github.com/ebean-orm/avaje-ebeanorm.git,184,34,25,84,16515,52,1809,9,1072,20.6153846154,975,72.36,682,1492,17050,0,0,1849,0,0,13709,4,3,17050,4,3,75,0.0234604106,81.75,60000,259.7866666667,377.18,1072,12358.1433333333,Non-web libraries and frameworks,Library
legacy-jclouds,git://github.com/jclouds/legacy-jclouds.git,508,37,88,237,156500,63,6450,17,1476,23.4285714286,8047,73.2954545455,539.9772727273,5638,47518,0,0,6584,66,62,35296,40,17,47518,106,79,74.5283018868,0.2230733617,217.5,106634,233.7575757576,306.6363636364,1476,21773.5787878788,Web libraries and frameworks,Library
openmrs-core,git://github.com/openmrs/openmrs-core.git,226,81,200,1138,269410,101,2974,29,3394,33.603960396,9319,14.87,96.31,2135,19262,258,66,1503,32,32,15624,738,660,19262,1028,758,73.7354085603,5.3369328211,411.25,48292.3333333333,103.7266666667,55.59,3394,10451.38,Web libraries and frameworks,Library
vaadin,git://github.com/vaadin/vaadin.git,439,104,68,208,119620,93,5995,13,3236,34.7956989247,15918,88.1617647059,578.6176470588,3105,39346,154,80,5213,46,27,31028,414,343,39346,614,450,73.2899022801,1.5605144106,204.75,17792,244.9264705882,333.3897058824,3236,4362.2132352941,Non-web libraries and frameworks,Library
opennlp,git://github.com/apache/opennlp.git,129,21,4,44,13135,24,895,3,1714,71.4166666667,1302,223.75,1383.5,410,5534,1,1,896,7,4,4228,115,85,5534,123,90,73.1707317073,2.2226237803,49.5,2341,537.0833333333,803625,1714,1089.0416666667,Non-web libraries and frameworks,Library
github-plugin,git://github.com/jenkinsci/github-plugin.git,119,171,32,152,1397,30,92,3,2261,75.3666666667,299,2875,15.75,48,504,0,0,71,1,1,385,10,7,504,11,8,72.7272727273,2.1825396825,118.5,4364.6666666667,16875,9.3125,2261,1354.0708333333,Application,Non-library
rest-assured,git://github.com/jayway/rest-assured.git,464,42,17,150,12117,40,473,6,1762,44.05,1266,27.8235294118,247.0588235294,126,4200,3,0,332,0,0,3742,8,8,4200,11,8,72.7272727273,0.2619047619,168.25,127958.666666667,97.2941176471,137.4411764706,1762,26024.7303921569,Web libraries and frameworks,Library
igv,git://github.com/igvteam/igv.git,140,39,18,63,377846,71,1830,10,1726,24.3098591549,4859,101.6666666667,875.7222222222,2579,15763,0,0,1386,7,6,11798,4,2,15763,11,8,72.7272727273,0.0697836706,65,284207.333333333,331.7962962963,488.6944444444,1726,57363.7648148148,Application,Non-library
xtext,git://github.com/eclipse/xtext.git,158,21,33,80,812810,64,24049,29,2660,41.5625,19795,728.7575757576,10008.4848484848,80033,330280,28,5,23259,104,75,226988,424,321,330280,556,401,72.1223021583,0.1683420128,73,129512.333333333,3590.0808080808,5368.6212121212,2660,28240.8070707071,Non-web libraries and frameworks,Library
tomcat70,git://github.com/apache/tomcat70.git,184,42,9,145,55536,68,2721,2,3432,50.4705882353,10360,302.3333333333,3425.1111111111,4790,30826,95,80,2685,59,43,23351,416,288,30826,570,411,72.1052631579,1.8490884318,95,24011.3333333333,1245.4814814815,1863.7222222222,3432,6129.5074074074,System Software,Non-library
ngrinder,git://github.com/naver/ngrinder.git,129,42,10,49,40335,33,873,19,1151,34.8787878788,3604,87.3,387.7,313,3877,0,0,469,0,0,3095,14,10,3877,14,10,71.4285714286,0.3611039464,57.5,142100.666666667,161.6666666667,237.5,1151,28741.6666666667,Application,Non-library
rstudio,git://github.com/rstudio/rstudio.git,1087,117,29,235,418269,2084,4156,259,1718,0.8243761996,13536,143.3103448276,771.1724137931,1358,22364,0,0,2529,2,2,18477,5,3,22364,7,5,71.4285714286,0.0313003041,367,8486.3333333333,314.4942528736,457.2413793103,1718,2268.6137931035,Application,Non-library
Ektorp,git://github.com/helun/Ektorp.git,199,17,38,89,2778,8,317,3,1434,179.25,478,8.3421052632,73.2368421053,282,2783,0,0,295,2,1,2206,5,4,2783,7,5,71.4285714286,0.251527129,85.75,15014,39.8596491228,40.7894736842,1434,3322.8798245614,Non-web libraries and frameworks,Library
quickfixj,git://github.com/quickfix-j/quickfixj.git,101,36,13,75,41445,29,814,5,3790,130.6896551724,1110,62.6153846154,305.0769230769,295,3966,0,0,381,0,0,3290,7,5,3966,7,5,71.4285714286,0.1765002521,56.25,13973,126.8974358974,183.8461538462,3790,3625.9987179487,Non-web libraries and frameworks,Library
antlr4,git://github.com/antlr/antlr4.git,873,129,38,264,36598,17,1355,3,2031,119.4705882353,4338,35.6578947368,200.3947368421,1179,7615,5,3,606,1,0,5830,25,19,7615,31,22,70.9677419355,0.4070912672,326,41386.6666666667,91.350877193,118.0263157895,2031,8790.6087719298,Software tools,Non-library
sling,git://github.com/apache/sling.git,112,23,14,136,110658,843,5887,7,2903,3.443653618,13663,420.5,2677.5714285714,3559,37486,57,49,4571,49,36,29356,124,78,37486,230,163,70.8695652174,0.6135623966,71.25,17779.6666666667,1037.3571428572,1549.0357142857,2903,4668.0619047619,Web libraries and frameworks,Library
javassist,git://github.com/jboss-javassist/javassist.git,344,60,6,101,15267,31,586,4,4495,145,698,97.6666666667,1238.3333333333,1284,7430,0,0,857,0,0,5289,10,7,7430,10,7,70,0.134589502,127.75,147093.333333333,447.3333333333,668,4495,30566.2833333333,Software tools,Non-library
bigbluebutton,git://github.com/bigbluebutton/bigbluebutton.git,1385,225,57,2689,429856,19,3994,91,2648,139.3684210526,10864,70.0701754386,214.5614035088,3336,12230,1,1,1132,0,0,7762,9,6,12230,10,7,70,0.0817661488,1089,93631.3333333333,113.8771929825,142.3157894737,2648,19524.9052631579,Application,Non-library
geotools,git://github.com/geotools/geotools.git,216,64,97,337,253559,58,15105,20,1665,28.7068965517,4404,155.7216494845,1473.5463917526,28711,142934,50,18,11381,77,63,102842,431,308,142934,558,389,69.7132616487,0.3903899702,178.5,73282.6666666667,575.4226804124,814.6340206186,1665,15303.2446735395,Non-web libraries and frameworks,Library
tomcat,git://github.com/apache/tomcat.git,570,169,9,443,73750,29,3164,2,3434,118.4137931034,15491,351.5555555556,3910,4403,35190,8,5,3152,17,10,27635,97,70,35190,122,85,69.6721311475,0.3466894004,297.75,34305.3333333333,1423.5185185185,2130.7777777778,3434,8318.2759259259,System Software,Non-library
UniversalMediaServer,git://github.com/UniversalMediaServer/UniversalMediaServer.git,257,55,30,109,66527,235,1199,21,1170,4.9787234043,5745,39.9666666667,203.4666666667,1037,6104,100,86,435,2,1,4632,155,91,6104,257,178,69.2607003891,4.2103538663,112.75,89852.3333333333,91.1444444444,121.7166666667,1170,18269.5888888889,Application,Non-library
wicket,git://github.com/apache/wicket.git,272,39,35,175,257787,225,5666,48,3986,17.7155555556,18869,161.8857142857,725.7142857143,1050,25400,1,0,4052,18,11,20298,33,25,25400,52,36,69.2307692308,0.2047244094,130.25,9124.3333333333,307.5333333333,443.8,3986,2798.3833333333,Web libraries and frameworks,Library
proctor,git://github.com/indeedeng/proctor.git,105,34,13,23,1783,28,190,5,581,20.75,234,14.6153846154,93.7692307692,66,1219,5,3,153,0,0,1000,8,6,1219,13,9,69.2307692308,1.0664479081,43.75,89242.3333333333,40.4615384615,54.1923076923,581,17992.3474358974,Non-web libraries and frameworks,Library
i2p.i2p,git://github.com/i2p/i2p.i2p.git,194,52,5,54,263343,143,3165,2,4133,28.9020979021,11171,633,3900.2,2239,19501,8,5,1867,13,12,15395,253,172,19501,274,189,68.9781021898,1.405056151,76.25,442917,1512.7333333333,2266.6,4133,90181.1166666667,System Software,Non-library
selenium,git://github.com/SeleniumHQ/selenium.git,1560,334,200,1021,1303567,74,5683,4,3940,53.2432432432,17863,28415,59055,791,11811,6,3,1563,9,5,9457,7,7,11811,22,15,68.1818181818,0.1862670392,778.75,13242,95.8233333333,43735,3940,3620.0616666667,Non-web libraries and frameworks,Library
citrus,git://github.com/webx/citrus.git,386,104,0,224,25476,24,2439,5,1328,55.3333333333,427,#DIV/0!,#DIV/0!,1110,17873,0,0,2448,0,0,14315,22,15,17873,22,15,68.1818181818,0.1230906955,178.5,12247,#DIV/0!,#DIV/0!,1328,#DIV/0!,Web libraries and frameworks,Library
WorldEdit,git://github.com/sk89q/WorldEdit.git,723,83,60,415,18129,103,739,20,1767,17.1553398058,2207,12.3166666667,102.85,655,6171,5,0,707,46,33,4809,115,80,6171,166,113,68.0722891566,2.6900016205,320.25,3391.3333333333,58.3888888889,57.5833333333,1767,1118.9111111111,Application,Non-library
browsermob-proxy,git://github.com/webmetrics/browsermob-proxy.git,183,31,18,205,3517,7,486,3,1388,198.2857142857,197,27,416.5,1333,7497,0,0,566,4,3,5598,46,31,7497,50,34,68,0.66693344,109.25,564009.333333333,153.8333333333,221.75,1388,113176.433333333,Software tools,Non-library
liferay-plugins,git://github.com/liferay/liferay-plugins.git,453,124,300,1740,1676180,27,8351,4,2977,110.2592592593,21346,27.8366666667,140.2533333333,4078,42076,0,0,2054,53,53,35944,301,183,42076,354,236,66.6666666667,0.8413347276,654.25,15260.6666666667,156.03,84045,2977,3826.3983333333,Application,Non-library
PayPal-Java-SDK,git://github.com/paypal/PayPal-Java-SDK.git,122,59,19,167,3362,27,344,4,897,33.2222222222,330,18.1052631579,162.2631578947,285,3083,0,0,282,0,0,2516,24,16,3083,24,16,66.6666666667,0.7784625365,91.75,67686,66.4561403509,90.1842105263,897,13766.2780701754,Non-web libraries and frameworks,Library
vraptor,git://github.com/caelum/vraptor.git,376,63,65,210,199173,14,802,7,2337,166.9285714286,3417,12.3384615385,73.7076923077,160,4791,0,0,897,1,0,3734,11,8,4791,12,8,66.6666666667,0.2504696306,178.5,3419,50.3487179487,43.0230769231,2337,1205.5743589744,Web libraries and frameworks,Library
sshj,git://github.com/hierynomus/sshj.git,522,64,20,153,5204,18,262,5,1998,111,538,13.1,115.55,166,2311,0,0,299,0,0,1846,9,6,2311,9,6,66.6666666667,0.3894418001,189.75,2388.6666666667,49.55,64325,1998,938.0583333333,Non-web libraries and frameworks,Library
capsule,git://github.com/puniverse/capsule.git,593,33,8,29,4807,16,48,5,487,30.4375,974,6,103625,39,829,0,0,27,0,0,763,9,6,829,9,6,66.6666666667,1.0856453559,165.75,28563.3333333333,39.2083333333,54.8125,487,5862.0208333333,Software tools,Non-library
picard,git://github.com/broadinstitute/picard.git,102,93,35,74,82418,133,2443,25,2288,17.2030075188,1837,69.8,151.7142857143,1689,5310,1,0,580,0,0,3041,5,4,5310,6,4,66.6666666667,0.1129943503,76,5837,85.5047619048,110.7571428571,2288,1679.4523809524,System Software,Non-library
gs-core,git://github.com/graphstream/gs-core.git,118,15,12,33,11725,6,476,6,2331,388.5,714,39.6666666667,569.3333333333,1511,6832,0,0,428,1,1,4893,5,3,6832,6,4,66.6666666667,0.0878220141,44.5,2552.6666666667,207,304.5,2331,1087.9333333333,Non-web libraries and frameworks,Library
slice,git://github.com/airlift/slice.git,146,30,9,30,766,15,60,2,865,57.6666666667,117,6.6666666667,96.6666666667,17,870,0,0,64,1,0,789,2,2,870,3,2,66.6666666667,0.3448275862,53.75,5255.3333333333,37.4444444444,51.6666666667,865,1252.6388888889,Non-web libraries and frameworks,Library
cube-sdk,git://github.com/etao-open-source/cube-sdk.git,550,67,3,297,14695,3,201,6,543,181,267,67,576.6666666667,167,1730,0,0,174,0,0,1389,3,2,1730,3,2,66.6666666667,0.1734104046,229.25,2777.6666666667,215.5555555556,321.8333333333,543,817.4611111111,Non-web libraries and frameworks,Library
Minecraft-Server-Mod,git://github.com/traitor/Minecraft-Server-Mod.git,156,7,24,81,6470,5,133,4,211,42.2,466,5.5416666667,79.75,305,1914,0,0,106,0,0,1503,3,2,1914,3,2,66.6666666667,0.1567398119,67,5650.6666666667,36.4305555556,42.6458333333,211,1201.5486111111,System Software,Non-library
btrace,git://github.com/jbachorik/btrace.git,104,23,4,32,14631,25,407,9,2255,90.2,649,101.75,877,234,3508,0,0,396,1,0,2878,2,2,3508,3,2,66.6666666667,0.0855188141,40.75,11361.6666666667,327.5833333333,489375,2255,2894875,System Software,Non-library
AntennaPod,git://github.com/AntennaPod/AntennaPod.git,863,100,46,306,29746,57,831,12,1336,23.4385964912,2330,18.0652173913,107.7391304348,693,4956,0,0,416,0,0,3847,3,2,4956,3,2,66.6666666667,0.0605326877,328.75,64505.3333333333,57.268115942,62.902173913,1336,13258.0507246377,Application,Non-library
mycollab,git://github.com/MyCollab/mycollab.git,176,33,1,105,184484,28,4076,3,567,20.25,489,4076,36864,1479,36864,0,0,3130,0,0,32255,3,2,36864,3,2,66.6666666667,0.0081380208,78.75,12600.3333333333,13647,20470,567,9472.6166666667,Non-web libraries and frameworks,Library
elasticsearch-analysis-icu,git://github.com/elastic/elasticsearch-analysis-icu.git,102,22,14,23,911,21,26,11,1320,62.8571428571,141,1.8571428571,6.7857142857,7,95,0,0,19,3,2,69,0,0,95,3,2,66.6666666667,3.1578947368,40.25,1968,7.5476190476,4.3214285714,1320,668.0238095238,Application,Non-library
ImageViewEx,git://github.com/frapontillo/ImageViewEx.git,219,22,2,67,5725,8,84,14,705,88125,81,42,101,14,202,0,0,21,1,0,167,2,2,202,3,2,66.6666666667,1.4851485149,77.5,569.6666666667,48.3333333333,71.5,705,294.4,Non-web libraries and frameworks,Library
ormlite-android,git://github.com/j256/ormlite-android.git,592,66,5,222,1472,53,35,3,1696,32,414,7,61.4,20,307,0,0,33,0,0,254,3,2,307,3,2,66.6666666667,0.9771986971,221.25,11979.3333333333,24.4666666667,34.2,1696,2791.05,Non-web libraries and frameworks,Library
jmxtrans,git://github.com/jmxtrans/jmxtrans.git,727,74,60,243,35442,13,189,7,1710,131.5384615385,797,3.15,18.2333333333,113,1094,0,0,147,0,0,834,3,2,1094,3,2,66.6666666667,0.2742230347,276,4390.6666666667,27.1277777778,10.6916666667,1710,1282.8972222222,Application,Non-library
transdroid,git://github.com/erickok/transdroid.git,277,35,13,80,11586,18,492,4,1287,71.5,399,37.8461538462,190.6923076923,385,2479,2,1,261,0,0,1833,1,1,2479,3,2,66.6666666667,0.1210165389,101.25,5398.6666666667,80.5128205128,114.2692307692,1287,1396.3397435898,Application,Non-library
spring-social-facebook,git://github.com/spring-projects/spring-social-facebook.git,148,68,17,150,13297,21,420,20,1829,87.0952380952,1209,24.7058823529,157.5294117647,631,2678,0,0,277,0,0,1770,3,2,2678,3,2,66.6666666667,0.1120238984,95.75,66247.3333333333,66.4117647059,91.1176470588,1829,13665.9225490196,Non-web libraries and frameworks,Library
structr,git://github.com/structr/structr.git,298,38,15,70,194106,21,1958,37,1662,79.1428571429,6048,130.5333333333,694.0666666667,1450,10411,0,0,1168,2,1,7793,1,1,10411,3,2,66.6666666667,0.0288156757,105.25,36813,279.8666666667,412.3,1662,7854.4833333333,Non-web libraries and frameworks,Library
tika,git://github.com/apache/tika.git,223,36,12,134,98542,34,1486,20,3064,90.1176470588,2705,123.8333333333,614.6666666667,1026,7376,59,28,917,3,3,5433,30,29,7376,92,60,65.2173913043,1.2472885033,101.25,51410.3333333333,250.1666666667,369.25,3064,11039,Non-web libraries and frameworks,Library
gridgain,git://github.com/gridgain/gridgain.git,244,60,25,69,142185,23,4670,3,547,23.7826086957,6789,186.8,2119.48,1829,52987,15,11,5254,6,2,45904,88,58,52987,109,71,65.1376146789,0.2057108347,99.5,105814.333333333,777.0933333333,1153.14,547,21678.2133333333,Non-web libraries and frameworks,Library
incubator-brooklyn,git://github.com/apache/incubator-brooklyn.git,101,13,47,82,260899,3,3557,30,1532,510.6666666667,11886,75.6808510638,675.3829787234,4754,31743,62,29,3230,48,32,23759,492,331,31743,602,392,65.1162790698,1.8964811139,60.75,23227.3333333333,266.0212765957,375.5319148936,1532,5092.3273049645,System Software,Non-library
spring-roo,git://github.com/spring-projects/spring-roo.git,412,106,24,201,36649,32,1290,5,2289,71.53125,5061,53.75,317.2916666667,615,7615,1,1,876,1,0,6124,55,36,7615,57,37,64.9122807018,0.7485226527,185.75,64868.6666666667,131.6805555556,185.5208333333,2289,13532.1236111111,Non-web libraries and frameworks,Library
aws-sdk-java,git://github.com/aws/aws-sdk-java.git,1055,190,73,693,176055,126,10936,9,1977,15.6904761905,461,149.8082191781,1377.3150684932,774,100544,16,12,10425,165,93,89345,115,87,100544,296,192,64.8648648649,0.2943984723,502.75,60850.6666666667,533.3744292237,763.5616438356,1977,12925.4705479452,Non-web libraries and frameworks,Library
ceylon-compiler,git://github.com/ceylon/ceylon-compiler.git,144,27,28,42,73347,13,8661,15,2037,156.6923076923,11503,309.3214285714,579.0357142857,2951,16213,9,4,1609,62,54,11653,31,8,16213,102,66,64.7058823529,0.6291247764,60.25,10686,305.4523809524,444.1785714286,2037,2706.5761904762,System Software,Non-library
eureka,git://github.com/Netflix/eureka.git,1150,289,36,262,15631,140,214,6,5332,38.0857142857,913,5.9444444444,60.7777777778,213,2188,0,0,226,2,2,1749,26,16,2188,28,18,64.2857142857,1.2797074954,434.25,52147.6666666667,34.2407407407,33.3611111111,5332,11596.3037037037,Software tools,Non-library
erlide,git://github.com/erlide/erlide.git,164,27,12,48,151225,88,3030,3,3146,35.75,7174,252.5,1170.6666666667,1678,14048,0,0,1477,1,1,10893,13,8,14048,14,9,64.2857142857,0.0996583144,62.75,15398,478.3888888889,711.5833333333,3146,3959.3444444445,Software tools,Non-library
optiq,git://github.com/julianhyde/optiq.git,214,43,22,79,31113,22,1033,30,909,41.3181818182,839,46.9545454545,735.3181818182,1702,16177,1,0,1633,0,0,12842,13,9,16177,14,9,64.2857142857,0.0865426222,89.5,80609,268.0909090909,391.1363636364,909,16453.3454545455,System Software,Non-library
soapui,git://github.com/SmartBear/soapui.git,149,70,38,142,222688,18,2962,105,2611,145.0555555556,6742,77.9473684211,737.8947368421,2669,28040,1,0,3163,8,1,22208,35,27,28040,44,28,63.6363636364,0.1569186876,99.75,54204,284.6140350877,407.9210526316,2611,11521.4570175439,Non-web libraries and frameworks,Library
xtreemfs,git://github.com/xtreemfs/xtreemfs.git,101,30,18,23,132191,20,2381,31,2447,122.35,4072,132.2777777778,1296.5555555556,1664,23338,0,0,1341,2,2,20333,9,5,23338,11,7,63.6363636364,0.0471334305,43,109607.333333333,482.2777777778,714.4166666667,2447,22658.8055555556,System Software,Non-library
hbase,git://github.com/apache/hbase.git,368,136,60,371,302173,375,3311,46,3062,8.1653333333,10864,55.1833333333,1472.7666666667,7267,88366,15,5,6235,18,17,74864,349,221,88366,382,243,63.612565445,0.4322929634,233.75,327936.333333333,529.3166666667,763975,3062,66505075,System Software,Non-library
voltdb,git://github.com/VoltDB/voltdb.git,615,113,49,181,887165,355,8278,136,2011,5.6647887324,17931,168.9387755102,1142.5510204082,12973,55985,20,20,4268,7,5,38744,137,78,55985,164,103,62.8048780488,0.2929356078,239.5,24082,453.4965986395,655.7448979592,2011,5488.3482993197,Software tools,Non-library
Multiverse-Core,git://github.com/Multiverse/Multiverse-Core.git,210,27,21,121,16088,5,173,20,1603,320.6,1013,8.2380952381,69.2380952381,43,1454,0,0,156,8,7,1255,35,20,1454,43,27,62.7906976744,2.9573590096,94.75,47256,32.8253968254,38.7380952381,1603,9805.0626984127,Non-web libraries and frameworks,Library
wro4j,git://github.com/alexo/wro4j.git,463,46,37,136,138599,46,1715,55,2218,48.2173913043,3617,46.3513513514,143.2162162162,167,5299,1,0,590,1,1,4542,6,4,5299,8,5,62.5,0.1509718815,170.5,3907,75.5225225225,94.7837837838,2218,1293.1612612613,Web libraries and frameworks,Library
rest-driver,git://github.com/rest-driver/rest-driver.git,111,13,12,33,6246,54,176,3,1489,27.5740740741,757,14.6666666667,96.0833333333,49,1153,0,0,163,2,2,941,6,3,1153,8,5,62.5,0.6938421509,42.25,181131,40.9166666667,55375,1489,36551.7083333333,Non-web libraries and frameworks,Library
