project,name,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantFieldsDeprecated_last,perc_quantFieldsDeprecated_last,quantFieldsDeprecatedAnnotation_last,quantFieldsDeprecatedJavaDoc_last,quantFieldsDeprecatedWithRelMessage_last,perc_quantFieldsDeprecatedWithRelMessage_last,quantUserFields_last,quantReplaceFields_last,quantReferFields_last,quantEquivalentFields_last,quantLinkFields_last,quantSeeFields_last,quantTypes_last,quantTypesDeprecated_last,perc_quantTypesDeprecated_last ,quantTypesDeprecatedAnnotation_last,quantTypesDeprecatedJavaDoc_last,quantTypesDeprecatedWithRelMessage_last,perc_quantTypesDeprecatedWithRelMessage_last,quantUserTypes_last,quantReplaceTypes_last,quantReferTypes_last,quantEquivalentTypes_last,quantLinkTypes_last,quantSeeTypes_last,quantMethods_last,quantMethodsDeprecated_last,perc_quantMethodsDeprecated_last,quantMethodsDeprecatedAnnotation_last,quantMethodsDeprecatedJavaDoc_last,quantMethodsDeprecatedWithRelMessage_last,perc_quantMethodsDeprecatedWithRelMessage_last,quantUserMethods_last,quantReplaceMethods_last,quantReferMethods_last,quantEquivalentMethods_last,quantLinkMethods_last,quantSeeMethods_last,quantElements_last,quantElementsDeprecated_last,perc_quantElementsDeprecated_last,quantElementsDeprecatedAnnotation_last,quantElementsDeprecatedJavaDoc_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,quantUserElements_last,quantReplaceElements_last,quantReferElements_last,quantEquivalenElements_last,quantLinkElements_last,quantSeeElements_last,curve,category,category2
libgdx-contribs,libgdx-contribs,git://github.com/manuelbua/libgdx-contribs.git,133,30,4,38,3224,7,108,4,1020,145.7142857143,161,27,192.5,98,0,0,0,0,0,0,0,0,0,0,0,0,51,1,1.9607843137,0,1,1,100,1,0,0,0,1,0,621,0,0,0,0,0,0,0,0,0,0,0,0,770,1,0.1298701299,0,1,1,100,1,0,0,0,1,0,stable,Non-web libraries and frameworks,Library
dynalink,dynalink,git://github.com/szegedi/dynalink.git,158,22,3,10,3292,6,108,3,1667,277.8333333333,362,36,286.6666666667,33,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,698,1,0.1432664756,1,1,1,100,1,0,0,0,1,0,860,1,0.1162790698,1,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
HearthStats.net-Uploader,HearthStats.net-Uploader,git://github.com/HearthStats/HearthStats.net-Uploader.git,141,25,16,76,427355,84,354,20,500,5.9523809524,1276,22125,56375,241,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,552,1,0.1811594203,1,1,1,100,0,0,0,0,1,0,902,1,0.110864745,1,1,1,100,0,0,0,0,1,0,stable,Application,Non-library
spring-retry,spring-retry,git://github.com/spring-projects/spring-retry.git,112,25,7,38,953,12,127,2,1421,118.4166666667,74,18.1428571429,132.8571428571,35,0,0,0,0,0,0,0,0,0,0,0,0,165,1,0.6060606061,1,1,1,100,0,0,0,0,1,0,730,0,0,0,0,0,0,0,0,0,0,0,0,930,1,0.1075268817,1,1,1,100,0,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
world,world,git://github.com/openproject/world.git,103,19,1,157,4430,3,719,6,346,115.3333333333,161,719,933,194,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,626,1,0.1597444089,0,1,1,100,1,0,0,0,1,0,933,1,0.1071811361,0,1,1,100,1,0,0,0,1,0,stable,Application,Non-library
v2ex-daily-android,v2ex-daily-android,git://github.com/kyze8439690/v2ex-daily-android.git,383,27,2,106,5698,6,192,4,375,62.5,62,96,475.5,118,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,739,1,0.1353179973,1,1,1,100,1,0,0,0,1,0,951,1,0.1051524711,1,1,1,100,1,0,0,0,1,0,stable,Non-web libraries and frameworks,Library
Transitions-Everywhere,Transitions-Everywhere,git://github.com/andkulikov/Transitions-Everywhere.git,759,44,3,91,1058,10,77,2,621,62.1,127,25.6666666667,345,130,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,810,1,0.1234567901,0,1,1,100,1,0,0,0,1,0,1035,1,0.0966183575,0,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
EverMemo,EverMemo,git://github.com/daimajia/EverMemo.git,437,37,1,173,3542,12,166,2,310,25.8333333333,96,166,1053,179,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,801,1,0.1248439451,1,1,1,100,1,0,0,0,1,0,1053,1,0.0949667616,1,1,1,100,1,0,0,0,1,0,stable,Application,Non-library
librec,librec,git://github.com/guoguibing/librec.git,130,28,2,75,6034,3,138,3,566,188.6666666667,717,69,637.5,205,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,967,1,0.1034126163,0,1,1,100,1,0,0,0,0,0,1275,1,0.0784313725,0,1,1,100,1,0,0,0,0,0,stable,Non-web libraries and frameworks,Library
pebble,pebble,git://github.com/mbosecke/pebble.git,149,23,14,22,6508,25,257,3,954,38.16,490,18.3571428571,98.8571428571,42,0,0,0,0,0,0,0,0,0,0,0,0,213,1,0.4694835681,0,1,1,100,1,0,1,0,1,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,1384,1,0.0722543353,0,1,1,100,1,0,1,0,1,0,increase,Non-web libraries and frameworks,Library
