project,rm,ed,category
pgjdbc,90,0.4566210046,Non-web libraries and frameworks
android-beacon-library,90,1.0460251046,Non-web libraries and frameworks
togglz,90,0.6711409396,Non-web libraries and frameworks
Smack,89.7058823529,0.7239433621,Non-web libraries and frameworks
jackson-core,89.4736842105,0.6301824212,Non-web libraries and frameworks
zk,87.7142857143,1.3388417107,Web libraries and frameworks
android_frameworks_base,87.6530612245,2.1418424216,Non-web libraries and frameworks
TwelveMonkeys,87.5,0.1585885618,Non-web libraries and frameworks
languagetool,87.5,0.1107726392,Software tools
spring-android,87.0967741935,0.7019927536,Non-web libraries and frameworks
freemarker,86.7256637168,1.2605979473,Non-web libraries and frameworks
ormlite-core,86.6666666667,0.3153910849,Non-web libraries and frameworks
keepassdroid,86.6666666667,0.3920543649,Non-web libraries and frameworks
spring-data-mongodb,86.5384615385,0.7593457944,Software tools
hudson-2.x,86.4768683274,2.0910849829,System Software
geoserver,86.432160804,0.358791288,System Software
logstash-logback-encoder,86.3636363636,1.7377567141,Non-web libraries and frameworks
shiro,85.7142857143,0.5631536605,Application
JavaHamcrest,85.7142857143,0.5392912173,Non-web libraries and frameworks
enunciate,85.7142857143,0.0828598485,Web libraries and frameworks
hibernate-orm,85.0187265918,0.3824338261,Non-web libraries and frameworks
davdroid,84.6153846154,1.6878732797,Application
OpenIAB,84.6153846154,2.8446389497,Non-web libraries and frameworks
Applied-Energistics-2,84.6153846154,0.2407630336,Application
servo,84.6153846154,0.7602339181,Application
spring-data-commons,84.6153846154,0.2490421456,Software tools
jmeter,84.4444444444,0.3601440576,Application
jPOS,84.2105263158,0.1731838483,Application
thymeleaf,84,0.6038647343,Web libraries and frameworks
restfb,83.3333333333,1.2793176972,Non-web libraries and frameworks
spring-data-rest,83.3333333333,0.4390779363,Non-web libraries and frameworks
platform_frameworks_support,83.0508474576,0.5791411043,Non-web libraries and frameworks
openwayback,82.3529411765,1.131071191,Software tools
soot,82.3529411765,0.0733438316,Non-web libraries and frameworks
OG-Platform,81.9919517103,0.6806634072,Software tools
grails-core,81.8181818182,0.9697325889,Web libraries and frameworks
mapdb,81.4814814815,0.8432229856,System Software
Openfire,81.3953488372,0.1977375149,System Software
jclouds,81.3793103448,0.3137373694,Software tools
EhViewer,81.25,0.2293249248,Application
GWTP,80.8510638298,1.2768269492,Web libraries and frameworks
mongo-java-driver,80.8510638298,0.4733608621,Non-web libraries and frameworks
hudson,80.7615230461,3.0312234236,Software tools
gwt,80.3819444444,0.6079219833,Software tools
cursor-utils,80,4.3103448276,Non-web libraries and frameworks
Java-Thread-Affinity,80,1.1037527594,Application
gnucash-android,80,0.3142677561,Application
subsonic,80,0.1365374113,Application
Subsonic,80,0.1365374113,Non-web libraries and frameworks
