project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
flink;git://github.com/apache/flink.git;567;102;200;372;2498939;12;3893;29;1710;142.5;7429;19465;157715;2651;31543;7;0;4874;29;0;24018;73;41;31543;109;41;376.146.788.991;0.3455600292;310.25;137.156.666.666.667;1.257.266.666.667;88.59;1710;31.900.466.666.667;Non-web libraries and frameworks
google-http-java-client;git://github.com/google/google-http-java-client.git;196;40;8;71;9174;27;430;19;1538;56.962.962.963;423;53.75;387125;437;3097;2;2;398;4;2;2262;18;5;3097;24;9;37.5;0.7749434937;78.75;257.116.666.666.667;149625;2.204.375;1538;55.396.958.333.333;Web libraries and frameworks
jbpm;git://github.com/droolsjbpm/jbpm.git;391;147;62;549;71164;56;2874;16;1793;320.178.571.429;2739;463.548.387.097;3.462.419.354.839;1576;21467;0;0;1942;5;3;17949;19;6;21467;24;9;37.5;0.1117995062;287.25;137.279.333.333.333;1.515.322.580.645;1.962.983.870.968;1793;279.414.827.956.989;Application
robovm;git://github.com/robovm/robovm.git;1427;153;20;231;377118;29;13253;6;1846;636.551.724.138;2739;662.65;6719.6;14482;134392;101;69;14001;60;38;105909;672;204;134392;833;311;373.349.339.736;0.6198285612;457.75;84113;24.674.166.666.667;3691125;1846;185.150.583.333.333;Software tools
nd4j;git://github.com/deeplearning4j/nd4j.git;189;42;21;103;116470;17;1477;44;356;209.411.764.706;1365;703.333.333.333;6.721.428.571.429;1352;14115;33;20;656;2;0;12107;32;5;14115;67;25;373.134.328.358;0.4746723344;88.75;55357;2.544.920.634.921;3.712.380.952.381;356;11.285.496.031.746;Non-web libraries and frameworks
fixflow;git://github.com/fixteam/fixflow.git;188;71;12;161;148309;6;3647;15;538;896.666.666.667;1866;3.039.166.666.667;14.226.666.666.667;5139;17072;0;0;1166;0;0;10767;11;4;17072;11;4;363.636.363.636;0.0644329897;108;42565;5.795.277.777.778;8.632.916.666.667;538;89.307.638.888.889;Software tools
closure-compiler;git://github.com/google/closure-compiler.git;1563;150;200;354;109503;48;1120;2;2117;441.041.666.667;5813;5.6;134.37;2125;26874;1;1;1583;0;0;23166;10;3;26874;11;4;363.636.363.636;0.0409317556;566.75;170.676.666.666.667;1.133.233.333.333;69985;2117;3986945;Software tools
astyanax;git://github.com/Netflix/astyanax.git;755;312;50;314;23670;73;659;8;1457;199.589.041.096;982;13.18;155.44;445;7772;1;0;704;10;5;6623;69;24;7772;80;29;36.25;10.293.360.782;357.75;6429;728.733.333.333;84.31;1457;16.801.866.666.667;Web libraries and frameworks
spring-amqp;git://github.com/spring-projects/spring-amqp.git;164;31;24;146;11092;47;423;8;1871;398.085.106.383;883;17625;1.695.833.333.333;212;4070;1;1;460;1;0;3398;12;4;4070;14;5;357.142.857.143;0.343980344;91.25;184.440.333.333.333;704.027.777.778;936.041.666.667;1871;373.133.180.555.556;Software tools
hadoop;git://github.com/apache/hadoop.git;928;318;49;1040;541392;203;7859;152;2285;112.561.576.355;11514;160.387.755.102;21.625.306.122.449;13768;105964;169;6;10210;25;19;81986;270;139;105964;464;164;353.448.275.862;0.4378845646;583.75;381.326.666.666.667;7.906.394.557.823;11.614.591.836.735;2285;85.907.030.612.245;Software tools
openstack-java-sdk;git://github.com/woorea/openstack-java-sdk.git;133;46;32;161;8103;15;331;8;1249;832.666.666.667;656;1.034.375;9.440.625;84;3021;0;0;582;3;1;2355;17;6;3021;20;7;35;0.6620324396;93;14727;455.833.333.333;52375;1249;32.333.916.666.667;Non-web libraries and frameworks
rabbitmq-java-client;git://github.com/rabbitmq/rabbitmq-java-client.git;120;30;23;79;40829;69;331;433;2576;373.333.333.333;2816;143.913.043.478;1.399.565.217.391;247;3219;0;0;360;0;0;2612;12;4;3219;12;4;333.333.333.333;0.3727865797;63;35.546.666.666.667;59.115.942.029;771.739.130.435;2576;12.659.913.043.478;Web libraries and frameworks
AndroidCaldavSyncAdapater;git://github.com/gggard/AndroidCaldavSyncAdapater.git;205;42;6;83;6358;8;1087;5;297;37125;121;1.811.666.666.667;4.033.333.333.333;287;2420;0;0;353;0;0;1780;12;4;2420;12;4;333.333.333.333;0.4958677686;84;116.906.666.666.667;1.968.333.333.333;292.25;297;2512.15;Non-web libraries and frameworks
UpdateChecker;git://github.com/rampo/UpdateChecker.git;493;34;21;88;32519;20;133;7;739;36.95;356;63.333.333.333;6;27;126;0;0;14;0;0;85;9;3;126;9;3;333.333.333.333;71.428.571.429;159;1625;111.111.111.111;61.666.666.667;739;5.080.555.555.556;Non-web libraries and frameworks
governator;git://github.com/Netflix/governator.git;279;229;16;89;4364;71;385;5;1244;175.211.267.606;731;240.625;1.383.125;115;2213;0;0;463;2;2;1635;7;1;2213;9;3;333.333.333.333;0.4066877542;153.25;18.803.333.333.333;594.583.333.333;811.875;1244;6.836.458.333.333;Web libraries and frameworks
TestFX;git://github.com/TestFX/TestFX.git;161;45;18;41;3246;5;182;6;752;150.4;662;101.111.111.111;97;179;1746;0;0;160;0;0;1407;6;2;1746;6;2;333.333.333.333;0.3436426117;66.25;150.433.333.333.333;417.037.037.037;535.555.555.556;752;31.913.685.185.185;Non-web libraries and frameworks
androidclient;git://github.com/kontalk/androidclient.git;189;38;13;64;42696;51;688;15;1543;302.549.019.608;2504;529.230.769.231;2.273.846.153.846;528;2956;3;2;245;3;0;2183;0;0;2956;6;2;333.333.333.333;0.2029769959;76;1577;977.692.307.692;1.401.538.461.538;1543;6.867.846.153.846;Non-web libraries and frameworks
semantic-versioning;git://github.com/jeluard/semantic-versioning.git;118;14;17;31;1735;32;40;3;1683;5.259.375;270;23.529.411.765;278.823.529.412;29;474;1;0;50;0;0;395;2;1;474;3;1;333.333.333.333;0.6329113924;45;17.513.333.333.333;157.450.980.392;151.176.470.588;1683;7.020.392.156.863;Software tools
infovore;git://github.com/paulhoule/infovore.git;113;24;2;15;4385;55;395;2;775;140.909.090.909;624;197.5;741.5;346;1483;0;0;230;1;1;907;2;0;1483;3;1;333.333.333.333;0.20229265;38.5;31.223.333.333.333;3.136.666.666.667;469.5;775;943.8;Non-web libraries and frameworks
ehcache3;git://github.com/ehcache/ehcache3.git;143;51;16;101;7246;3;638;2;541;1.803.333.333.333;1062;39875;404625;444;6474;0;0;726;0;0;5304;3;1;6474;3;1;333.333.333.333;0.046339203;77.75;173.796.666.666.667;153.5;222.25;541;36.748.333.333.333;Non-web libraries and frameworks
dcm4che;git://github.com/dcm4che/dcm4che.git;107;72;15;86;44729;12;936;3;1801;1.500.833.333.333;1712;62.4;4.888.666.666.667;718;7333;0;0;530;0;0;6085;3;1;7333;3;1;333.333.333.333;0.0409109505;70;125.796.666.666.667;1.887.555.555.556;2.756.333.333.333;1801;29.830.111.111.111;Application
hibernate-validator;git://github.com/hibernate/hibernate-validator.git;167;27;22;118;29094;40;1312;7;2906;72.65;2531;596.363.636.364;3.334.090.909.091;381;7335;0;0;1511;1;1;5443;2;0;7335;3;1;333.333.333.333;0.0408997955;83.5;521.543.333.333.333;1.383.484.848.485;1.965.227.272.727;2906;110.957.409.090.909;Non-web libraries and frameworks
Web-Karma;git://github.com/usc-isi-i2/Web-Karma.git;121;63;23;62;147164;15;1964;25;1356;90.4;3486;853.913.043.478;3.275.652.173.913;991;7534;0;0;868;3;1;5675;0;0;7534;3;1;333.333.333.333;0.039819485;67.25;99.723.333.333.333;1.453.188.405.797;2.064.782.608.696;1356;23.494.760.869.565;Application
cascading;git://github.com/cwensel/cascading.git;271;36;10;182;21372;525;1011;22;2765;52.666.666.667;2041;101.1;1074.7;980;10747;1;0;1077;0;0;8690;2;1;10747;3;1;333.333.333.333;0.0279147669;124.75;327.533.333.333.333;3.952.666.666.667;587.9;2765;7325.25;Non-web libraries and frameworks
fitnesse;git://github.com/unclebob/fitnesse.git;639;99;74;352;84949;23;2564;2;3793;1.649.130.434.783;4719;346.486.486.486;1.496.756.756.757;759;11076;0;0;1333;2;1;8984;1;0;11076;3;1;333.333.333.333;0.0270855905;291;66.913.333.333.333;861.081.081.081;921.621.621.622;3793;21.907.207.207.207;Non-web libraries and frameworks
PassAndroid;git://github.com/ligi/PassAndroid.git;130;13;3;32;8720;36;278;14;963;26.75;763;926.666.666.667;3.283.333.333.333;152;985;0;0;162;0;0;671;3;1;985;3;1;333.333.333.333;0.3045685279;44.5;35863;1.413.333.333.333;210.5;963;74.444.666.666.667;Application
ioke;git://github.com/olabini/ioke.git;126;14;10;18;106604;10;0;5;1213;121.3;1847;0;488.3;787;4883;0;0;356;0;0;3740;3;1;4883;3;1;333.333.333.333;0.0614376408;42;418.093.333.333.333;166.1;244.15;1213;86.949.166.666.667;System Software
SeriesGuide;git://github.com/UweTrottmann/SeriesGuide.git;858;109;6;285;119726;281;819;5;1420;50.533.807.829;6666;136.5;8.143.333.333.333;1465;4886;3;1;533;0;0;2888;0;0;4886;3;1;333.333.333.333;0.0613999181;314.5;17845;3.189.444.444.444;4.754.166.666.667;1420;40.747.722.222.222;Application
cdk;git://github.com/cloudera/cdk.git;179;71;12;88;47697;49;952;56;460;9.387.755.102;1232;793.333.333.333;3.838.333.333.333;225;4606;0;0;600;2;2;3781;44;13;4606;46;15;326.086.956.522;0.9986973513;87.5;30594;1.583.888.888.889;2.315.833.333.333;460;63.062.944.444.445;Non-web libraries and frameworks
parquet-mr;git://github.com/apache/parquet-mr.git;128;29;68;147;86492;39;684;32;1084;277.948.717.949;1728;100.588.235.294;1.131.029.411.765;464;7691;1;0;971;10;2;6256;78;27;7691;89;29;325.842.696.629;11.571.967.234;93;44.236.666.666.667;637.205.882.353;615.808.823.529;1084;1.145.193.627.451;Software tools
artemis-odb;git://github.com/junkdog/artemis-odb.git;152;28;15;27;5155;30;425;4;1195;398.333.333.333;984;283.333.333.333;205.6;403;3084;0;0;501;5;1;2180;63;21;3084;68;22;323.529.411.765;22.049.286.641;55.5;29.346.666.666.667;829.777.777.778;1.169.666.666.667;1195;8.770.222.222.222;Non-web libraries and frameworks
ribbon;git://github.com/Netflix/ribbon.git;455;249;23;132;5396;56;324;7;1158;206.785.714.286;743;140.869.565.217;1.261.739.130.435;378;2902;4;0;362;3;2;2162;24;8;2902;31;10;322.580.645.161;10.682.288.077;214.75;2241;544.202.898.551;701.304.347.826;1158;7.476.601.449.275;Web libraries and frameworks
asciidoctorj;git://github.com/asciidoctor/asciidoctorj.git;141;20;21;54;3628;13;193;9;848;652.307.692.308;425;91.904.761.905;617.142.857.143;128;1296;0;0;124;0;0;1044;25;8;1296;25;8;32;19.290.123.457;59;205435;306.349.206.349;354.523.809.524;848;412.816.174.603.175;Non-web libraries and frameworks
pentaho-kettle;git://github.com/pentaho/pentaho-kettle.git;289;133;73;403;607423;145;7586;35;3574;246.482.758.621;15680;1.039.178.082.192;7.808.219.178.082;7320;57000;58;10;3285;22;3;46395;173;65;57000;253;78;308.300.395.257;0.4438596491;224.5;559.433.333.333.333;3.192.465.753.425;4.423.698.630.137;3574;121.006.899.543.379;Software tools
Activiti;git://github.com/Activiti/Activiti.git;917;250;200;1092;105662;33;5168;17;1878;569.090.909.091;5533;25.84;141795;6073;28359;0;0;2961;4;2;19325;35;10;28359;39;12;307.692.307.692;0.1375224796;614.75;85876;122545;838.175;1878;177.150.225;Software tools
jOOQ;git://github.com/jOOQ/jOOQ.git;861;91;28;210;227762;26;1507;8;1488;572.307.692.308;4315;538.214.285.714;8.533.214.285.714;1569;23893;1;0;1286;9;7;21038;224;63;23893;234;70;299.145.299.145;0.9793663416;297.5;56412;3.117.142.857.143;4.535.714.285.714;1488;117.925.571.428.571;Software tools
eucalyptus;git://github.com/eucalyptus/eucalyptus.git;385;107;45;160;141739;51;3604;11;2418;474.117.647.059;23763;800.888.888.889;6.838.666.666.667;2040;30774;9;0;3175;9;0;25559;40;17;30774;58;17;293.103.448.276;0.188470787;174.25;13291;2.696.518.518.519;3.819.777.777.778;2418;33.069.759.259.259;System Software
jcommon;git://github.com/facebook/jcommon.git;301;73;11;108;8562;17;537;3;1248;734.117.647.059;292;488.181.818.182;3.940.909.090.909;71;4335;0;0;588;3;2;3676;28;7;4335;31;9;290.322.580.645;0.7151095732;123.25;508.146.666.666.667;151.303.030.303;2.214.545.454.545;1248;105.117.348.484.848;Non-web libraries and frameworks
g4studio;git://github.com/xiongchun/g4studio.git;162;53;2;210;144405;3;3704;3;751;2.503.333.333.333;72;1852;3039;540;6078;0;0;624;4;0;4914;27;9;6078;31;9;290.322.580.645;0.5100361961;106.75;82764;1631;2445.5;751;17539.65;Application
ambari;git://github.com/apache/ambari.git;221;86;41;257;233298;48;8916;25;1452;30.25;12704;2.174.634.146.341;6.723.170.731.707;3029;27565;0;0;2928;10;2;21608;4;2;27565;14;4;285.714.285.714;0.0507890441;151.25;147.816.666.666.667;3.102.601.626.016;4.448.902.439.024;1452;34.280.134.146.342;Software tools
blueprints;git://github.com/tinkerpop/blueprints.git;1106;107;44;256;16350;19;430;5;1968;1.035.789.473.684;1759;97.727.272.727;895.681.818.182;419;3941;0;0;377;0;0;3145;14;4;3941;14;4;285.714.285.714;0.3552397869;378.25;67.376.666.666.667;477.803.030.303;496.704.545.455;1968;18.362.734.848.485;Non-web libraries and frameworks
XposedBridge;git://github.com/rovo89/XposedBridge.git;728;146;6;289;16180;7;92;3;1233;1.761.428.571.429;199;153.333.333.333;273.5;164;1641;1;0;96;1;0;1381;5;2;1641;7;2;285.714.285.714;0.4265691651;292.25;44370;982.777.777.778;1.444.166.666.667;1233;92.275.888.888.889;Non-web libraries and frameworks
aws-toolkit-eclipse;git://github.com/aws/aws-toolkit-eclipse.git;131;50;9;66;130188;9;1281;2;1662;1.846.666.666.667;30;1.423.333.333.333;949;700;8541;4;2;1090;0;0;6751;3;0;8541;7;2;285.714.285.714;0.0819576162;64;179033;3.667.777.777.778;5.456.666.666.667;1662;363.342.888.888.889;Application
opensearchserver;git://github.com/jaeksoft/opensearchserver.git;125;36;6;47;526614;54;1944;8;2623;485.740.740.741;5080;324;20.671.666.666.667;1175;12403;2;2;1328;2;0;9900;3;0;12403;7;2;285.714.285.714;0.0564379586;53.5;131852;7.990.555.555.556;11.955.833.333.333;2623;273.046.277.777.778;Application
CloudStack-archive;git://github.com/CloudStack-extras/CloudStack-archive.git;282;27;30;87;377589;121;5564;196;775;64.049.586.777;12035;1.854.666.666.667;23.725.666.666.667;11217;71177;1;1;5689;3;0;54271;54;15;71177;58;16;275.862.068.966;0.0814869972;106.5;466.736.666.666.667;8.626.777.777.778;12.790.166.666.667;775;99.393.722.222.222;System Software
JGroups;git://github.com/belaban/JGroups.git;346;59;44;202;67970;175;874;107;4355;248.857.142.857;17707;198.636.363.636;3.935.227.272.727;4224;17315;29;0;1258;18;13;11833;26;7;17315;73;20;27.397.260.274;0.421599769;162.75;338.786.666.666.667;1.524.621.212.121;2.066.931.818.182;4355;77.511.143.939.394;Non-web libraries and frameworks
unfolding;git://github.com/tillnagel/unfolding.git;209;34;11;105;83899;3;422;9;1890;630;756;383.636.363.636;2.835.454.545.455;1016;3119;0;0;383;1;0;1720;21;6;3119;22;6;272.727.272.727;0.7053542802;89.75;178.503.333.333.333;1.109.696.969.697;1.609.545.454.545;1890;40.204.015.151.515;Non-web libraries and frameworks
choco3;git://github.com/chocoteam/choco3.git;104;25;7;34;49576;10;856;14;1488;148.8;3030;1.222.857.142.857;1352;1810;9464;0;0;837;2;1;6817;9;2;9464;11;3;272.727.272.727;0.1162299239;42.5;14283;4.937.619.047.619;7.371.428.571.429;1488;3.408.880.952.381;Non-web libraries and frameworks
bitcoinj;git://github.com/bitcoinj/bitcoinj.git;498;96;54;468;32680;17;705;19;1630;958.823.529.412;2549;130.555.555.556;2.397.592.592.593;1178;12947;1;0;861;1;0;10908;30;8;12947;32;8;25;0.2471615046;279;54.206.666.666.667;1.022.716.049.383;1.264.074.074.074;1630;15.116.691.358.025;Non-web libraries and frameworks
CommandBook;git://github.com/sk89q/CommandBook.git;127;25;15;97;3223;19;92;11;1451;763.684.210.526;507;61.333.333.333;588.666.666.667;95;883;1;0;139;0;0;649;15;4;883;16;4;25;181.200.453;66;142.606.666.666.667;266.666.666.667;32.5;1451;31.673.666.666.667;System Software
hector;git://github.com/hector-client/hector.git;666;64;69;316;41406;38;493;43;1996;525.263.157.895;2161;71.449.275.362;682.898.550.725;294;4712;0;0;489;3;1;3929;13;3;4712;16;4;25;0.3395585739;278.75;70.676.666.666.667;481.449.275.362;377.173.913.043;1996;18.856.557.971.015;Non-web libraries and frameworks
spring-social;git://github.com/spring-projects/spring-social.git;417;93;20;218;16143;18;348;16;1831;1.017.222.222.222;1633;17.4;81.45;28;1629;0;0;242;0;0;1359;8;2;1629;8;2;25;0.4910988336;187;37.406.666.666.667;396.166.666.667;49425;1831;11.695.416.666.667;Non-web libraries and frameworks
arquillian-core;git://github.com/arquillian/arquillian-core.git;160;22;42;110;8989;29;604;7;2128;733.793.103.448;783;14.380.952.381;832.142.857.143;112;3495;1;0;669;0;0;2714;7;2;3495;8;2;25;0.2288984263;83.5;78.073.333.333.333;465.317.460.317;487.976.190.476;2128;20.228.325.396.825;Software tools
less4j;git://github.com/SomMeri/less4j.git;103;15;9;29;17934;51;1993;8;1163;228.039.215.686;935;2.214.444.444.444;5.227.777.777.778;201;4705;0;0;514;3;0;3990;5;2;4705;8;2;25;0.170031881;39;42004;2.510.740.740.741;3.721.111.111.111;1163;8.765.837.037.037;Software tools
gwt-bootstrap;git://github.com/gwtbootstrap/gwt-bootstrap.git;416;69;48;192;120746;4;561;10;1085;271.25;941;116.875;650.625;309;3123;0;0;403;0;0;2411;8;2;3123;8;2;25;0.2561639449;181.25;827.233.333.333.333;415.833.333.333;38375;1085;168.139.083.333.333;Web libraries and frameworks
ScreenSlicer;git://github.com/MachinePublishers/ScreenSlicer.git;133;8;1;9;244816;4;231;2;274;68.5;279;231;1119;197;1119;8;2;105;0;0;817;0;0;1119;8;2;25;0.7149240393;37.75;8.993.333.333.333;4.503.333.333.333;675;274;4.672.833.333.333;Application
CircularReveal;git://github.com/ozodrukh/CircularReveal.git;777;37;8;158;1527;9;52;3;242;268.888.888.889;63;6.5;37;45;296;0;0;33;0;0;218;4;1;296;4;1;25;13.513.513.514;245;1614;171.666.666.667;21.75;242;4.279.833.333.333;Application
jackson-dataformat-xml;git://github.com/FasterXML/jackson-dataformat-xml.git;110;16;12;51;4444;59;102;10;1683;285.254.237.288;497;8.5;1.176.666.666.667;324;1412;0;0;238;0;0;850;4;1;1412;4;1;25;0.283286119;47.25;268.486.666.666.667;460.555.555.556;630.833.333.333;1683;57.376.111.111.111;Non-web libraries and frameworks
vlcj;git://github.com/caprica/vlcj.git;247;53;2;90;78643;34;491;3;2268;667.058.823.529;1895;245.5;1715.5;217;3431;0;0;457;1;0;2757;3;1;3431;4;1;25;0.1165840863;98;268.416.666.666.667;6.543.333.333.333;980.5;2268;6168.5;Non-web libraries and frameworks
Java-Lang;git://github.com/OpenHFT/Java-Lang.git;199;47;15;54;76825;58;269;4;816;140.689.655.172;950;179.333.333.333;2.644.666.666.667;234;3967;0;0;306;0;0;3427;4;1;3967;4;1;25;0.1008318629;78.75;749.343.333.333.333;991.333.333.333;141.2;816;152.138.833.333.333;Non-web libraries and frameworks
openiot;git://github.com/OpenIotOrg/openiot.git;138;81;13;84;216215;4;4621;15;803;200.75;661;3.554.615.384.615;11.358.461.538.462;4529;14766;0;0;1181;1;1;9056;3;0;14766;4;1;25;0.0270892591;79;13757;5.014.358.974.359;7.456.538.461.538;803;3.177.217.948.718;System Software
morphia;git://github.com/mongodb/morphia.git;748;123;30;202;26124;24;381;3;1376;573.333.333.333;664;12.7;121.3;664;3639;0;0;664;1;0;2311;3;1;3639;4;1;25;0.1099203078;275.75;22.986.666.666.667;546.666.666.667;67;1376;8.144.166.666.667;Non-web libraries and frameworks
vk-android-sdk;git://github.com/VKCOM/vk-android-sdk.git;165;49;15;117;3096;24;161;4;580;241.666.666.667;197;107.333.333.333;1.273.333.333.333;752;1910;2;0;141;0;0;1017;2;1;1910;4;1;25;0.2094240838;86.5;15.053.333.333.333;510.222.222.222;690.333.333.333;580;4.583.777.777.778;Non-web libraries and frameworks
jackson-annotations;git://github.com/FasterXML/jackson-annotations.git;283;41;15;103;2561;51;45;10;1326;26;290;3;84.666.666.667;13;127;0;0;15;1;1;99;3;0;127;4;1;25;31.496.062.992;110.5;671.926.666.666.667;88.222.222.222;57.333.333.333;1326;137.287.444.444.444;Non-web libraries and frameworks
groovy-core;git://github.com/groovy/groovy-core.git;1355;130;200;399;197841;149;3610;36;4255;285.570.469.799;12377;18.05;111535;1863;22307;1;1;1842;3;2;18602;595;144;22307;599;147;245.409.015.025;26.852.557.493;521;60176;1.098.616.666.667;647.925;4255;130.253.308.333.333;Software tools
incubator-groovy;git://github.com/apache/incubator-groovy.git;534;38;200;132;154552;150;3669;37;4376;291.733.333.333;12687;18345;111.96;1871;22392;1;1;1851;4;3;18670;602;144;22392;607;148;243.822.075.783;27.107.895.677;226;289.706.666.666.667;1.101.016.666.667;651.525;4376;67.495.841.666.667;Non-web libraries and frameworks
maven;git://github.com/apache/maven.git;344;61;45;212;62586;44;1934;25;4371;993.409.090.909;10070;429.777.777.778;1.911.333.333.333;441;8601;9;2;1036;71;14;7124;119;32;8601;199;48;241.206.030.151;23.136.844.553;165.5;39.813.333.333.333;93.037.037.037;1.170.555.555.556;4371;17.455.851.851.852;Software tools
jeromq;git://github.com/zeromq/jeromq.git;862;114;33;183;3119;8;224;2;1094;136.75;455;67.878.787.879;748.484.848.485;295;2470;8;2;372;0;0;1803;13;3;2470;21;5;238.095.238.095;0.8502024291;298;16291;382.121.212.121;408.181.818.182;1094;35.524.060.606.061;Non-web libraries and frameworks
onos;git://github.com/opennetworkinglab/onos.git;107;62;51;94;42874;9;3529;6;371;412.222.222.222;4384;691.960.784.314;4.749.607.843.137;2904;24223;7;0;3120;11;1;18199;20;8;24223;38;9;236.842.105.263;0.1568756967;78.5;409.173.333.333.333;198.385.620.915;2.720.784.313.725;371;83.674.594.771.242;System Software
jackrabbit-oak;git://github.com/apache/jackrabbit-oak.git;117;40;14;118;95885;61;2644;8;1263;207.049.180.328;9171;1.888.571.428.571;2042;2206;28588;1;0;2820;1;0;23562;15;4;28588;17;4;235.294.117.647;0.05946551;72.25;504.806.666.666.667;7.482.857.142.857;11.154.285.714.286;1263;107.359.261.904.762;System Software
UltimateAndroid;git://github.com/cymcsg/UltimateAndroid.git;1262;169;3;521;117352;3;5502;4;407;1.356.666.666.667;826;1834;11385;3795;34155;0;0;3898;5;0;26462;81;20;34155;86;20;232.558.139.535;0.2517932953;488.75;120.386.666.666.667;44.073.333.333.333;6609.5;407;4790.25;Non-web libraries and frameworks
ReactFX;git://github.com/TomasMikula/ReactFX.git;124;17;3;15;1718;19;243;2;613;322.631.578.947;354;81;8.306.666.666.667;78;2492;0;0;352;47;5;2062;9;8;2492;56;13;232.142.857.143;22.471.910.112;39.75;74.326.666.666.667;3.048.888.888.889;4.558.333.333.333;613;17.692.277.777.778;Non-web libraries and frameworks
caelum-stella;git://github.com/caelum/caelum-stella.git;256;71;35;173;18720;10;1086;4;2678;267.8;1361;310.285.714.286;1.545.428.571.429;766;5409;0;0;557;9;1;4086;13;4;5409;22;5;227.272.727.273;0.4067295249;133.75;8669;735.238.095.238;927.857.142.857;2678;23.294.119.047.619;Web libraries and frameworks
Bukkit;git://github.com/Bukkit/Bukkit.git;1603;196;200;1119;19858;67;740;2;1335;199.253.731.343;1509;3.7;29.67;253;5934;18;0;665;15;15;5016;421;86;5934;454;101;222.466.960.352;76.508.257.499;779.5;577.026.666.666.667;77.79;16685;1335;119.823.283.333.333;Non-web libraries and frameworks
h-store;git://github.com/apavlo/h-store.git;184;52;17;88;157963;11;9211;34;1738;158;4809;5.418.235.294.118;2395;10445;40715;10;0;2752;6;0;27518;38;12;40715;54;12;222.222.222.222;0.1326292521;85.25;63627;9.846.078.431.373;14.684.117.647.059;1738;135.806.539.215.686;System Software
MinecraftForge;git://github.com/MinecraftForge/MinecraftForge.git;1034;313;200;621;149252;43;914;14;1501;349.069.767.442;4478;4.57;31075;1031;6215;8;1;799;12;3;4385;53;12;6215;73;16;219.178.082.192;11.745.776.348;542;3417;785.483.333.333;178.225;1501;11.112.741.666.667;Software tools
RustDT;git://github.com/RustDT/RustDT.git;175;26;3;14;3187;5;849;3;413;82.6;867;283;2351;1245;7053;0;0;837;4;2;4971;10;1;7053;14;3;214.285.714.286;0.1984970934;54.5;4711;879;1317;413;1474.9;Software tools
immutables;git://github.com/immutables/immutables.git;455;25;9;20;6728;39;352;11;773;198.205.128.205;687;391.111.111.111;3.978.888.888.889;305;3581;0;0;633;0;0;2643;14;3;3581;14;3;214.285.714.286;0.390952248;127.25;848.213.333.333.333;1.486.666.666.667;218.5;773;17217.75;Non-web libraries and frameworks
gatk;git://github.com/broadgsa/gatk.git;165;56;50;144;249683;21;1200;2;2324;1.106.666.666.667;13961;24;334.62;5921;16731;1;1;1861;0;0;8949;23;4;16731;24;5;208.333.333.333;0.1434462973;103.75;91.203.333.333.333;1.362.066.666.667;179.31;2324;2372.72;Non-web libraries and frameworks
BungeeCord;git://github.com/SpigotMC/BungeeCord.git;318;86;58;480;10352;5;278;15;1043;208.6;1284;47.931.034.483;236.379.310.345;71;1371;0;0;237;3;1;1063;22;4;1371;25;5;20;18.234.865.062;235.5;893.559.333.333.333;288.103.448.276;142.155.172.414;1043;17.897.617.183.908;System Software
core;git://github.com/dotCMS/core.git;222;74;30;223;2674468;9;4839;13;2663;2.958.888.888.889;6890;161.3;672.9;1306;20187;0;0;4332;5;2;14549;15;2;20187;20;4;20;0.0990736613;137.25;554.023.333.333.333;2.880.666.666.667;417.1;2663;11781.55;Web libraries and frameworks
goclipse;git://github.com/GoClipse/goclipse.git;379;75;5;98;145078;11;942;4;2105;1.913.636.363.636;1764;188.4;1520;1365;7600;0;0;893;4;2;5342;11;1;7600;15;3;20;0.1973684211;139.25;97.663.333.333.333;5.711.333.333.333;854.2;2105;26.871.833.333.333;Application
hibernate-ogm;git://github.com/hibernate/hibernate-ogm.git;161;26;22;109;20358;22;1341;2;1628;74;2342;609.545.454.545;4.377.272.727.273;379;9630;1;1;1319;0;0;7932;9;1;9630;10;2;20;0.1038421599;79.5;44.366.666.666.667;1.735.606.060.606;2.493.409.090.909;1628;13.134.136.363.636;Non-web libraries and frameworks
java-cas-client;git://github.com/Jasig/java-cas-client.git;100;24;15;140;3479;31;201;5;3299;1.064.193.548.387;548;13.4;815.333.333.333;92;1223;1;1;174;0;0;957;4;0;1223;5;1;20;0.4088307441;69.75;32.873.333.333.333;366.444.444.444;474.666.666.667;3299;13.480.388.888.889;Web libraries and frameworks
ExtrabiomesXL;git://github.com/ExtrabiomesXL/ExtrabiomesXL.git;148;48;35;64;8094;58;545;5;1146;197.586.206.897;1276;155.714.285.714;670.285.714.286;328;2346;0;0;254;1;0;1764;4;1;2346;5;1;20;0.2131287298;73.75;121.176.666.666.667;39.2;41.3;1146;26.835.833.333.333;Software tools
