project,stars,whatchers,contributors,forks,size,category
restlet-framework-java,310,75,32,164,516787,Non-web libraries and frameworks
asterisk-java,149,43,28,122,19260,Non-web libraries and frameworks
calabash-android,952,139,58,443,51294,Software tools
ps3mediaserver,396,81,28,203,37620,System Software
slf4j,370,48,37,221,12945,Software tools
jnr-ffi,169,23,15,30,7090,Non-web libraries and frameworks
xwiki-platform,122,32,49,154,731011,Non-web libraries and frameworks
fanfoudroid,341,81,5,201,8179,Application
Resteasy,327,59,71,476,59456,Non-web libraries and frameworks
curator-apache,207,43,38,136,20153,Non-web libraries and frameworks
android-utils,160,13,2,25,1996,Non-web libraries and frameworks
JSONassert,144,22,10,47,1216,Non-web libraries and frameworks
crawljax,240,63,30,130,169048,Application
avaje-ebeanorm,184,34,25,84,16515,Non-web libraries and frameworks
legacy-jclouds,508,37,88,237,156500,Web libraries and frameworks
openmrs-core,226,81,200,1138,269410,Web libraries and frameworks
vaadin,439,104,68,208,119620,Non-web libraries and frameworks
opennlp,129,21,4,44,13135,Non-web libraries and frameworks
github-plugin,119,171,32,152,1397,Application
rest-assured,464,42,17,150,12117,Web libraries and frameworks
igv,140,39,18,63,377846,Application
xtext,158,21,33,80,812810,Non-web libraries and frameworks
tomcat70,184,42,9,145,55536,System Software
ngrinder,129,42,10,49,40335,Application
rstudio,1087,117,29,235,418269,Application
Ektorp,199,17,38,89,2778,Non-web libraries and frameworks
quickfixj,101,36,13,75,41445,Non-web libraries and frameworks
antlr4,873,129,38,264,36598,Software tools
sling,112,23,14,136,110658,Web libraries and frameworks
javassist,344,60,6,101,15267,Software tools
bigbluebutton,1385,225,57,2689,429856,Application
geotools,216,64,97,337,253559,Non-web libraries and frameworks
tomcat,570,169,9,443,73750,System Software
UniversalMediaServer,257,55,30,109,66527,Application
wicket,272,39,35,175,257787,Web libraries and frameworks
proctor,105,34,13,23,1783,Non-web libraries and frameworks
i2p.i2p,194,52,5,54,263343,System Software
selenium,1560,334,200,1021,1303567,Non-web libraries and frameworks
citrus,386,104,0,224,25476,Web libraries and frameworks
WorldEdit,723,83,60,415,18129,Application
browsermob-proxy,183,31,18,205,3517,Software tools
liferay-plugins,453,124,300,1740,1676180,Application
PayPal-Java-SDK,122,59,19,167,3362,Non-web libraries and frameworks
vraptor,376,63,65,210,199173,Web libraries and frameworks
sshj,522,64,20,153,5204,Non-web libraries and frameworks
capsule,593,33,8,29,4807,Software tools
picard,102,93,35,74,82418,System Software
gs-core,118,15,12,33,11725,Non-web libraries and frameworks
slice,146,30,9,30,766,Non-web libraries and frameworks
cube-sdk,550,67,3,297,14695,Non-web libraries and frameworks
Minecraft-Server-Mod,156,7,24,81,6470,System Software
btrace,104,23,4,32,14631,System Software
AntennaPod,863,100,46,306,29746,Application
mycollab,176,33,1,105,184484,Non-web libraries and frameworks
elasticsearch-analysis-icu,102,22,14,23,911,Application
ImageViewEx,219,22,2,67,5725,Non-web libraries and frameworks
ormlite-android,592,66,5,222,1472,Non-web libraries and frameworks
jmxtrans,727,74,60,243,35442,Application
transdroid,277,35,13,80,11586,Application
spring-social-facebook,148,68,17,150,13297,Non-web libraries and frameworks
structr,298,38,15,70,194106,Non-web libraries and frameworks
tika,223,36,12,134,98542,Non-web libraries and frameworks
gridgain,244,60,25,69,142185,Non-web libraries and frameworks
incubator-brooklyn,101,13,47,82,260899,System Software
spring-roo,412,106,24,201,36649,Non-web libraries and frameworks
aws-sdk-java,1055,190,73,693,176055,Non-web libraries and frameworks
ceylon-compiler,144,27,28,42,73347,System Software
eureka,1150,289,36,262,15631,Software tools
erlide,164,27,12,48,151225,Software tools
optiq,214,43,22,79,31113,System Software
soapui,149,70,38,142,222688,Non-web libraries and frameworks
xtreemfs,101,30,18,23,132191,System Software
hbase,368,136,60,371,302173,System Software
voltdb,615,113,49,181,887165,Software tools
Multiverse-Core,210,27,21,121,16088,Non-web libraries and frameworks
wro4j,463,46,37,136,138599,Web libraries and frameworks
