project,Popularity,Size,Community,Activity,Maturity,Repl. Msg (%),category
zeno,97.75,7696.6666666667,97.6666666667,142,652,54.5454545455,Non-web libraries and frameworks
geppetto,60.75,17689.3333333333,761.2962962963,1137.4444444445,1091,54.5454545455,Software tools
OpenAtlas,126.5,279610.666666667,204.7777777778,305.6666666667,158,54.5454545455,System Software
ofbiz,126.25,111519,831.5384615385,1240.8076923077,3338,54.0983606557,Web libraries and frameworks
camel,426,61073.3333333333,266.5,299.75,3077,54.0856031128,Non-web libraries and frameworks
kite,85.75,9477,117.5483870968,160.8225806452,926,53.8461538462,Non-web libraries and frameworks
log4j,82.75,56474.6666666667,403.75,603.625,5313,52.7472527473,Non-web libraries and frameworks
itextpdf,66.5,42533.6666666667,418.3333333333,621,5272,52.2222222222,Non-web libraries and frameworks
struts,138.5,31888.6666666667,582.0952380952,866.1428571429,3457,51.8518518519,Web libraries and frameworks
activemq,185.25,190568,509.4166666667,746.125,3539,51.6129032258,Application
griffon,45.75,4384.6666666667,320.2777777778,474.4166666667,2529,51.5151515152,Non-web libraries and frameworks
bonecp,151.75,156599.333333333,56.4375,76.65625,2041,51.3513513514,Non-web libraries and frameworks
jena,81.5,34938.6666666667,2294.9393939394,3436.9090909091,1200,50.4807692308,Non-web libraries and frameworks
jbehave-core,92.25,37823.6666666667,72.2698412698,87.4047619048,1988,50,Non-web libraries and frameworks
Pydev,120,23008.3333333333,612.5797101449,907.3695652174,4039,50,Application
mixpanel-android,85.25,7851.3333333333,60.5238095238,83.7857142857,1836,50,Non-web libraries and frameworks
Lealone,158.25,6560.6666666667,4460,6689.5,1139,50,Application
config,452.75,4481.3333333333,32.7692307692,36.1538461538,1378,50,Non-web libraries and frameworks
twilio-java,103.5,40275.6666666667,38.6666666667,42,2157,50,Non-web libraries and frameworks
thucydides,116.25,5504.6666666667,163.6543209877,231.9814814815,1478,50,Software tools
orbit,223.25,4682.6666666667,92.1212121212,132.6818181818,147,50,Non-web libraries and frameworks
